Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres_01,Capacity_acrefeet_01,Area_acres_int,Capacity_acrefeet_int,Area_percent_dif,Capacity_percent_dif
3401,3398.09,24614.91,2330729.48,24614.99,2330729.94,0,0
3700,3697.09,157199.21,24701855.32,157230.83,24705658.16,0.02,0.02
3700.01,3697.1,157206.02,24703428.88,157238.03,24707231.75,0.02,0.02
3700.02,3697.11,157212.88,24705002.51,157245.23,24708805.34,0.02,0.02
3700.03,3697.12,157219.73,24706576.21,157252.43,24710378.94,0.02,0.02
3700.04,3697.13,157226.6,24708149.98,157259.62,24711952.53,0.02,0.02
3700.05,3697.14,157233.46,24709723.81,157266.82,24713526.12,0.02,0.02
3700.06,3697.15,157240.44,24711297.72,157274.02,24715099.72,0.02,0.02
3700.07,3697.16,157247.29,24712871.7,157281.22,24716673.31,0.02,0.02
3700.08,3697.17,157254.14,24714445.74,157288.41,24718246.9,0.02,0.02
3700.09,3697.18,157261.08,24716019.85,157295.61,24719820.5,0.02,0.02
3700.1,3697.19,157267.89,24717594.03,157302.81,24721394.09,0.02,0.02
3700.11,3697.2,157274.7,24719168.28,157310.01,24722967.68,0.02,0.02
3700.12,3697.21,157281.62,24720742.6,157317.2,24724541.28,0.02,0.02
3700.13,3697.22,157288.17,24722278.59,157324.45,24726114.81,0.02,0.02
3700.14,3697.23,157295.03,24723853.04,157331.27,24727688.81,0.02,0.02
3700.15,3697.24,157301.94,24725427.57,157338.08,24729262.81,0.02,0.02
3700.16,3697.25,157308.82,24727002.16,157344.89,24730836.8,0.02,0.02
3700.17,3697.26,157315.63,24728576.82,157351.7,24732410.8,0.02,0.02
3700.18,3697.27,157322.45,24730151.55,157358.51,24733984.79,0.02,0.02
3700.19,3697.28,157329.35,24731726.35,157365.32,24735558.79,0.02,0.02
3700.2,3697.29,157336.14,24733301.21,157372.13,24737132.78,0.02,0.02
3700.21,3697.3,157342.96,24734876.15,157378.95,24738706.78,0.02,0.02
3700.22,3697.31,157349.81,24736451.15,157385.76,24740280.78,0.02,0.02
3700.23,3697.32,157356.68,24738026.22,157392.57,24741854.77,0.02,0.02
3700.24,3697.33,157363.52,24739601.36,157399.38,24743428.77,0.02,0.02
3700.25,3697.34,157370.32,24741176.57,157406.19,24745002.76,0.02,0.02
3700.26,3697.35,157377.19,24742751.84,157413,24746576.76,0.02,0.02
3700.27,3697.36,157383.97,24744327.19,157419.81,24748150.75,0.02,0.02
3700.28,3697.37,157390.84,24745902.6,157426.62,24749724.75,0.02,0.02
3700.29,3697.38,157397.7,24747478.08,157433.44,24751298.75,0.02,0.02
3700.3,3697.39,157404.5,24749053.63,157440.25,24752872.74,0.02,0.02
3700.31,3697.4,157411.31,24750629.25,157447.06,24754446.74,0.02,0.02
3700.32,3697.41,157418.09,24752204.94,157453.87,24756020.73,0.02,0.02
3700.33,3697.42,157424.85,24753780.69,157460.68,24757594.73,0.02,0.02
3700.34,3697.43,157431.55,24755356.51,157467.49,24759168.72,0.02,0.02
3700.35,3697.44,157438.36,24756932.4,157474.3,24760742.72,0.02,0.02
3700.36,3697.45,157445.05,24758508.36,157481.12,24762316.72,0.02,0.02
3700.37,3697.46,157451.87,24760084.38,157487.93,24763890.71,0.02,0.02
3700.38,3697.47,157458.62,24761622.03,157494.74,24765464.71,0.02,0.02
3700.39,3697.48,157465.42,24763198.19,157501.55,24767038.7,0.02,0.02
3700.4,3697.49,157472.22,24764774.42,157508.36,24768612.7,0.02,0.02
3700.41,3697.5,157478.98,24766350.71,157515.17,24770186.7,0.02,0.02
3700.42,3697.51,157485.98,24767927.07,157521.98,24771760.69,0.02,0.02
3700.43,3697.52,157492.66,24769503.5,157528.79,24773334.69,0.02,0.02
3700.44,3697.53,157499.38,24771080,157535.61,24774908.68,0.02,0.02
3700.45,3697.54,157507.09,24772656.57,157542.42,24776482.68,0.02,0.02
3700.46,3697.55,157513.82,24774233.21,157549.23,24778056.8,0.02,0.02
3700.47,3697.56,157520.58,24775809.92,157556,24779633.03,0.02,0.02
3700.48,3697.57,157527.26,24777386.7,157562.77,24781209.26,0.02,0.02
3700.49,3697.58,157533.99,24778963.54,157569.55,24782785.48,0.02,0.02
3700.5,3697.59,157540.7,24780540.46,157576.32,24784361.71,0.02,0.02
3700.51,3697.6,157547.36,24782117.43,157583.09,24785937.94,0.02,0.02
3700.52,3697.61,157555.29,24783694.49,157589.87,24787514.17,0.02,0.02
3700.53,3697.62,157562.02,24785271.61,157596.64,24789090.39,0.02,0.02
3700.54,3697.63,157568.74,24786848.81,157603.41,24790666.62,0.02,0.02
3700.55,3697.64,157575.43,24788426.07,157610.19,24792242.85,0.02,0.02
3700.56,3697.65,157582.11,24790003.39,157616.96,24793819.08,0.02,0.02
3700.57,3697.66,157588.82,24791580.79,157623.73,24795395.3,0.02,0.02
3700.58,3697.67,157595.5,24793158.25,157630.51,24796971.53,0.02,0.02
3700.59,3697.68,157602.17,24794735.77,157637.28,24798547.76,0.02,0.02
3700.6,3697.69,157608.77,24796313.37,157644.05,24800123.99,0.02,0.02
3700.61,3697.7,157615.47,24797891.03,157650.83,24801700.22,0.02,0.02
